path	pass	disposition	before_body_words	after_body_words	reason
knowledge/glossary/presence.md	2	edited	405	375	Removed negative-data rhetoric and repeated conflict introduction while retaining quoted absence meaning and all positional-code exceptions. Tightened its description and matching index entry.
knowledge/glossary/provenance.md	2	edited	323	291	Removed repeated provenance rationale and shortened quote-evidence mechanism while preserving source and evaluation distinctions. Tightened its description and matching index entry.
knowledge/glossary/radelement.md	2	edited	273	264	Removed authoring-order framing and distinguished documented URI forms from the proposed successor.
knowledge/glossary/radlex-id.md	2	unchanged	258	258	Already concise: RID field mappings, composite-ID exception, examples, and unrecorded ontology-version risk all add distinct information.
knowledge/glossary/radlex.md	2	edited	277	265	Removed repetitive two-direction framing around curation and upstream integration.
knowledge/glossary/snomed-ct.md	2	edited	271	232	Split long usage sentence into source-specific statements and shortened licence/credential requirement.
knowledge/glossary/tag.md	2	edited	278	263	Shortened mixed-tag example framing and retained incomplete migration status.
knowledge/glossary/technical-finding.md	2	edited	342	317	Removed emphasis around coding distinction and shortened draft/open-question language.
knowledge/glossary/umls.md	2	edited	290	240	Removed two-job framing and shortened typed-failure explanation while retaining all error categories and mapping qualifications.
knowledge/guides/authoring-guide.md	2	edited	1212	1084	Tightened instructions and metadata guidance; retained rules, examples, and type vocabulary.
knowledge/guides/index.md	2	unchanged			Two concise directory entries; both descriptions match their pages.
knowledge/guides/migration-ledger.md	2	edited	3048	3027	Shortened the introduction; preserved all migration rows as provenance records.
knowledge/history/cde-template-rendering.md	2	edited	774	555	Removed filler and simplified authored explanation while preserving technical detail.
knowledge/history/extraction-approaches.md	2	edited	1557	1312	Removed filler and simplified authored explanation while preserving technical detail.
knowledge/history/index.md	2	edited			Simplified navigation introduction and synchronized concept descriptions.
knowledge/history/lineage-repositories.md	2	edited	1601	1359	Removed filler and simplified authored explanation while preserving technical detail.
knowledge/history/site-articles.md	2	edited	1399	1304	Tightened article summaries and authored framing; preserved all fifteen linked titles, dates, direct quotes, reported outcomes, and About-page scope.
knowledge/history/timeline.md	2	edited	1619	1607	Tightened the prologue and description; preserved every dated event table and source.
knowledge/history/use-cases.md	2	edited	1153	1062	Tightened authored framing; preserved every sourced use-case entry, attribution, category number, and table verbatim.
knowledge/index.md	2	edited			Shortened draft-status and navigation instructions without losing entry points.
knowledge/log.md	2	edited			Retained historical entries; added the full-review completion entry.
knowledge/overview/architecture.md	1	edited	1480	1247	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/overview/getting-involved.md	1	edited	1027	776	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/overview/index.md	2	unchanged			Four descriptive navigation entries; no repeated framing or editorial commentary.
knowledge/overview/vision.md	1	edited	1173	860	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/overview/what-is-oidm.md	1	edited	851	575	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/plans/2026-09-20-knowledgebase-build-plan.md	2	edited	3890	3851	Tightened plan framing; preserved decisions, quoted goals, source map, phases, and concurrent decisions.
knowledge/plans/index.md	2	unchanged			A single navigation entry matching the build plan description.
knowledge/references/anatomic-location-json-schema.md	2	edited	1695	1519	Shortened lineage and runtime explanations; preserved field tables, codes, counts, and example JSON.
knowledge/references/cde-schema-differences.md	2	edited	848	742	Tightened provenance and later-schema commentary; retained the attributed 2023 extract byte-for-byte.
knowledge/references/exam-finding-list-example.md	2	edited	1117	898	Shortened the walkthrough and synthetic-data introduction; preserved the JSON, fields, and absence distinction.
knowledge/references/finding-model-schema.md	2	edited	2027	1896	Shortened authored provenance and reconciliation framing; retained the migrated schema and constraint tables.
knowledge/references/imaging-problem-list-example.md	2	edited	1201	1024	Tightened grouping and status explanations; retained JSON, temporal rules, and synthetic-data qualifications.
knowledge/references/index.md	2	edited			Shortened navigation descriptions and synchronized all eight entries.
knowledge/references/oifm-metadata-fields-extract.md	2	edited	2429	2375	Shortened provenance and release-status framing; preserved the complete attributed field reference.
knowledge/references/oifm-overview-extract.md	2	edited	2040	1967	Shortened provenance and glossary introduction; preserved the complete attributed authoring prompt.
knowledge/references/status-update-2026-01.md	2	edited	835	778	Shortened introductory framing; preserved the complete slide extract.
knowledge/repositories/index.md	2	edited			Simplified navigation introduction and synchronized concept descriptions.
knowledge/repositories/repository-map.md	2	edited	1855	1768	Tightened map guidance and branch summaries; preserved the full repository table, diagram, caption, identifiers, dates, and status distinctions.
knowledge/roadmap/anatomic-locations-and-radlex.md	2	edited	1240	982	Removed filler and simplified authored explanation while preserving technical detail.
knowledge/roadmap/exam-types.md	2	edited	947	784	Removed filler and simplified authored explanation while preserving technical detail.
knowledge/roadmap/finding-model-content-direction.md	2	edited	1439	1245	Removed filler and simplified authored explanation while preserving technical detail.
knowledge/roadmap/finding-model-format-evolution.md	2	edited	1572	1390	Removed filler and simplified authored explanation while preserving technical detail.
knowledge/roadmap/index.md	2	edited			Simplified navigation introduction and synchronized concept descriptions.
knowledge/roadmap/ipl-data-model-system.md	2	edited	1183	952	Removed filler and simplified authored explanation while preserving technical detail.
knowledge/roadmap/open-questions.md	2	edited	5585	5499	Tightened only introductions; retained all 90 numbered questions and all 21 defect rows verbatim, including their uncertainty, attribution, and ownership.
knowledge/roadmap/roadmap-2026.md	2	edited	992	833	Removed filler and simplified authored explanation while preserving technical detail.
knowledge/semantic-foundation/anatomic-locations/data-model.md	2	edited	1261	1159	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/anatomic-locations/index.md	2	edited			Reviewed navigation, synchronized descriptions, and simplified introductory prose or directory labels.
knowledge/semantic-foundation/anatomic-locations/laterality-conventions.md	2	edited	968	878	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/anatomic-locations/lineage-and-current-implementation.md	2	edited	1024	874	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/anatomic-locations/radlex-integration.md	2	edited	1187	948	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/anatomic-locations/tooling.md	2	edited	953	868	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/anatomic-locations/why-anatomic-locations.md	2	edited	768	580	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/common-data-elements/cde-staging.md	2	edited	1536	1319	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/common-data-elements/cdes-and-radelement.md	2	edited	1368	1255	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/common-data-elements/index.md	2	edited			Reviewed navigation, synchronized descriptions, and simplified introductory prose or directory labels.
knowledge/semantic-foundation/common-data-elements/next-generation-vocabulary.md	2	edited	2073	1706	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/exam-types/existing-building-blocks.md	2	edited	1619	1399	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/exam-types/index.md	2	edited			Reviewed navigation, synchronized descriptions, and simplified introductory prose or directory labels.
knowledge/semantic-foundation/exam-types/overview.md	2	edited	1164	995	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/finding-models/authoring-workflow.md	2	edited	1130	993	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/finding-models/content-catalog.md	2	edited	1126	1022	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/finding-models/enrichment-pipeline.md	2	edited	1318	1137	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/finding-models/finding-model-format.md	2	edited	1439	1285	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/finding-models/finding-models-and-cdes.md	1	edited	1280	773	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/semantic-foundation/finding-models/finding-taxonomies.md	2	edited	875	726	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/finding-models/identifiers.md	2	edited	1024	817	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/finding-models/index.md	2	edited			Reviewed navigation, synchronized descriptions, and simplified introductory prose or directory labels.
knowledge/semantic-foundation/finding-models/why-finding-models.md	1	edited	1024	670	Shortened and cross-reviewed in the first pass; examples, citations, and qualifications preserved.
knowledge/semantic-foundation/index.md	2	edited			Reviewed navigation, synchronized descriptions, and simplified introductory prose or directory labels.
knowledge/semantic-foundation/terminologies/index.md	2	edited			Reviewed navigation, synchronized descriptions, and simplified introductory prose or directory labels.
knowledge/semantic-foundation/terminologies/med-ontology-lookup.md	2	edited	1160	978	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
knowledge/semantic-foundation/terminologies/ontologies-used.md	2	edited	1590	1402	Tightened authored prose and description; preserved facts, qualifications, citations, tables, examples, links, and headings.
